Name, Execution time(stopped when condition satisfied), No. of traces, Conditions satisfied(YES/NO)
2+2W.rsmc, 0.000, 1, YES
3.2W.rsmc, 0.624, 399, YES
3.LB.rsmc, 0.004, 11, NO
3.SB.rsmc, 0.000, 1, YES
b1.rsmc, 0.000, 3, NO
c1.rsmc, 0.000, 1, YES
CO-2+2W.rsmc, 0.000, 5, NO
coa.rsmc, 0.000, 3, NO
CO-LB.rsmc, 0.000, 3, NO
IRIW.rsmc, 0.000, 11, YES
m4.rsmc, 0.000, 3, YES
m6.rsmc, 0.084, 136, YES
MOREDETOUR0003.rsmc, 0.008, 18, NO
MP.rsmc, 0.000, 3, NO
n2.rsmc, 0.004, 11, YES
non-treelike-coherence.rsmc, 0.928, 1901, YES
R.rsmc, 0.000, 3, YES
SB.rsmc, 0.000, 1, YES
S.rsmc, 0.000, 3, NO
WRC.rsmc, 0.000, 1, YES
